10 4
20 8
30 10
40 12
50 15
60 17
70 19
80 22
90 24
100 25
110 29
120 30
130 31
140 34
150 35
160 37
170 39
180 41
190 42
200 46
210 46
220 47
230 50
240 52
250 53
260 55
270 57
280 59
290 61
300 62
310 63
320 66
330 66
340 68
350 70
360 72
370 73
380 75
390 77
400 78
410 80
420 81
430 82
440 85
450 87
460 88
470 91
480 92
490 93
500 95
510 97
520 97
530 99
540 99
550 101
560 102
570 104
580 106
590 107
600 109
610 111
620 114
630 114
640 115
650 118
660 120
670 121
680 123
690 124
700 125
710 127
720 128
730 129
740 131
750 132
760 134
770 136
780 137
790 138
800 139
810 140
820 141
830 145
840 146
850 146
860 149
870 150
880 151
890 154
900 154
910 155
920 157
930 158
940 159
950 161
960 162
970 163
980 165
990 166
1000 168
1010 169
1020 171
1023 172
